name,group,'m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'fx', 'fy', 'fz', 'tx', 'alpha'
index,group,0.08675149078673411,0.00409658236654703,0.3711208422003518,0.2852512055700711,0.26326973347992544,0.2862033441642315,0.5921647625835473,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.16987083284033389,0.03615358068445685,0.5000000000000001,0.39589887248882105,0.5,0.5,0.9037605388873775,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.10999411510054243,0.007441595477862953,0.328820724235798,0.2738174233770431,0.5386856693683391,0.8004267515125729,0.672782126495217,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.15437555592505228,0.028967063959393958,0.5007182325818078,0.38904082162139625,0.5350650637516365,0.42644160543525966,0.839562393010617,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.14851458754977528,0.02594860508364106,0.470952928027971,0.37229345946454107,0.43363719074675555,0.4871044025791693,0.8422218620872339,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.143144470698286,0.023428446692317886,0.4495949438503448,0.3565507694289,0.49602777119714714,0.5421583764071713,0.8068506524517626,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.170701880184903,0.036543869393037436,0.5002680117518811,0.3963804431656903,0.5005685284327099,0.5032048480710191,0.9066155812949016,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.12637324629732305,0.015406117782266991,0.40395889356638004,0.3235015904392362,0.5133268033308606,0.6191997300820371,0.7406597245642661,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.14395157853370266,0.024315677714711815,0.4944772699278239,0.37698157569374807,0.7112540635822953,0.4194567195685359,0.758753815440073,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.17470032990688142,0.038636036584276556,0.5640176159546653,0.4351326786657856,0.4498684345436207,0.2974672040923946,0.9358097831539822,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.12617001257547117,0.01561932195970965,0.5077024862355463,0.38475295966649625,0.39047060522890714,0.24653542679519214,0.7739546956897371,4.298979219542237,4.298979219542237,4.298979219542237,0,0.6000000000000001
index,group,0.12461624502956109,0.007307320232902143,0.49999999999999994,0.3864959486438723,0.5,0.5,0.8074685693335655,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.1516124088958597,0.020454552527212466,0.5822569444851886,0.44134546195810087,0.6097105772461382,0.36330343951737715,0.8806664265521877,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.12314422852865563,0.0065923276971482,0.4966192314625173,0.38418199506287554,0.4917160451620333,0.5033703348262083,0.8040829009373184,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.11599832404473912,0.003385246494759951,0.5172623766100065,0.3922290641714482,0.5171387812545455,0.4009170248236082,0.7729832579563494,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.1227625966175623,0.006415868306869717,0.4957897512162564,0.38346005565443175,0.4957571870183932,0.504870494606194,0.8016915280693078,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.1191701941610555,0.004795744000280974,0.5053188804408738,0.38709489850756734,0.5057442649403473,0.4559218283095035,0.7867088252982504,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.16212087752643609,0.025331028359611762,0.5835359382076692,0.44708270215838014,0.5820820631766772,0.4066379099748566,0.9252132539393956,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.11590572509262863,0.0031571433304873418,0.48171060630794327,0.3725256618098769,0.5028069232619355,0.5206510018426146,0.774809149997512,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.11869590605668917,0.004305274302741382,0.45930323341504925,0.36195188912027243,0.4660825421364423,0.606481520864057,0.7929688440238337,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.1394052492365326,0.014328171105079588,0.4578834355025276,0.3636774644037704,0.7185314688379555,0.7444665226614335,0.8054618408760068,5.015475756132609,5.015475756132609,5.015475756132609,0,0.7000000000000001
index,group,0.12482520339920417,0,0.5645956389502748,0.43228739670787175,0.5,0.5,0.8768785599270836,5.731972292722983,5.731972292722983,5.731972292722983,0,0.8
index,group,0.13734658529293609,0.005564230080694753,0.5376913007730126,0.4250824718635399,0.3854460145921913,0.6388078275680513,0.948866904938818,5.731972292722983,5.731972292722983,5.731972292722983,0,0.8
